country_name,item_name,day1,dpr1,day2,dpr2,value,unit
대구,고구마/밤,당일,"5,437",1일전,"5,437",0.0,1kg
대구,감자/수미,당일,557,1일전,557,0.0,100g
대구,배추/월동,당일,"4,910",1일전,"4,910",0.0,1포기
대구,양배추/양배추,당일,"4,160",1일전,"4,160",0.0,1포기
대구,시금치/시금치,당일,"8,555",1일전,"5,250",63.0,1kg
대구,상추/적,당일,740,1일전,723,2.4,100g
대구,상추/청,당일,935,1일전,910,2.8,100g
대구,얼갈이배추/얼갈이배추,당일,"3,193",1일전,"3,237",1.4,1kg
대구,수박/수박,당일,"25,300",1일전,"25,300",0.0,1개
대구,참외/참외,당일,"32,743",1일전,"32,743",0.0,10개
대구,오이/가시계통,당일,"15,360",1일전,"15,360",0.0,10개
대구,오이/다다기계통,당일,"10,047",1일전,"10,047",0.0,10개
대구,오이/취청,당일,"13,700",1일전,"13,700",0.0,10개
대구,호박/애호박,당일,"1,923",1일전,"1,923",0.0,1개
대구,호박/쥬키니,당일,"1,655",1일전,"1,605",3.1,1개
대구,토마토/토마토,당일,"6,163",1일전,"6,163",0.0,1kg
대구,딸기/딸기,당일,"1,015",1일전,"1,015",0.0,100g
대구,무/월동,당일,"1,675",1일전,"1,675",0.0,1개
대구,당근/무세척,당일,"2,927",1일전,"2,927",0.0,1kg
대구,열무/열무,당일,"4,010",1일전,"3,967",1.1,1kg
대구,건고추/화건,당일,"12,000",1일전,"12,000",0.0,600g
대구,건고추/양건,당일,"18,000",1일전,"18,000",0.0,600g
대구,풋고추/풋고추,당일,"1,350",1일전,"1,350",0.0,100g
대구,풋고추/꽈리고추,당일,"1,327",1일전,"1,327",0.0,100g
대구,풋고추/청양고추,당일,"1,003",1일전,"1,003",0.0,100g
대구,붉은고추/붉은고추,당일,"2,357",1일전,"2,340",0.7,100g
대구,깐마늘(국산)/깐마늘(국산),당일,"13,520",1일전,"13,520",0.0,1kg
대구,양파/양파,당일,"1,930",1일전,"1,930",0.0,1kg
대구,파/대파,당일,"3,163",1일전,"3,163",0.0,1kg
대구,파/쪽파,당일,"5,000",1일전,"5,000",0.0,1kg
대구,생강/국산,당일,"8,423",1일전,"8,423",0.0,1kg
대구,고춧가루/국산,당일,"31,493",1일전,"31,493",0.0,1kg
대구,고춧가루/중국,당일,"11,900",1일전,"11,900",0.0,1kg
대구,깻잎/깻잎,당일,"2,563",1일전,"2,563",0.0,100g
대구,피망/청,당일,"1,120",1일전,"1,247",10.2,100g
대구,파프리카/파프리카,당일,"1,883",1일전,"1,883",0.0,200g
대구,멜론/멜론,당일,"14,263",1일전,"14,263",0.0,1개
대구,방울토마토/방울토마토,당일,"9,875",1일전,"9,875",0.0,1kg
대구,방울토마토/대추방울토마토,당일,"9,460",1일전,"9,460",0.0,1kg
대구,참깨/백색(국산),당일,"15,000",1일전,"15,000",0.0,500g
대구,땅콩/국산,당일,"2,600",1일전,"2,600",0.0,100g
대구,느타리버섯/느타리버섯,당일,"1,100",1일전,"1,080",1.9,100g
대구,느타리버섯/애느타리버섯,당일,605,1일전,605,0.0,100g
대구,팽이버섯/팽이버섯,당일,577,1일전,577,0.0,150g
대구,새송이버섯/새송이버섯,당일,570,1일전,570,0.0,100g
대구,사과/후지,당일,"33,000",1일전,"33,000",0.0,10개
대구,배/신고,당일,"42,493",1일전,"42,493",0.0,10개
대구,포도/레드글로브 페루,당일,"7,490",1일전,"7,490",0.0,1kg
대구,바나나/수입,당일,360,1일전,360,0.0,100g
대구,참다래/국산,당일,"7,830",1일전,"7,830",0.0,10개
대구,파인애플/수입,당일,"5,990",1일전,"5,990",0.0,1개
대구,오렌지/네이블 미국,당일,"12,700",1일전,"12,900",1.6,10개
대구,레몬/수입,당일,"11,850",1일전,"11,850",0.0,10개
대구,망고/수입,당일,"4,993",1일전,"4,993",0.0,1개
대구,쇠고기/한우등심,당일,"10,795",1일전,"10,795",0.0,100g
대구,쇠고기/한우설도,당일,"6,140",1일전,"6,140",0.0,100g
대구,쇠고기/한우양지,당일,"6,930",1일전,"6,930",0.0,100g
대구,쇠고기/한우안심,당일,"16,880",1일전,"16,880",0.0,100g
대구,쇠고기/미국산갈비살,당일,"2,485",1일전,"2,485",0.0,100g
대구,쇠고기/호주산갈비,당일,"3,280",1일전,"3,480",5.8,100g
대구,우유/우유,당일,"2,710",1일전,"2,710",0.0,1리터
대구,건미역/건미역,당일,"2,327",1일전,"2,327",0.0,100g
대구,굴/굴,당일,"12,300",1일전,"12,300",0.0,1kg
대구,새우젓/새우젓,당일,"21,993",1일전,"21,993",0.0,1kg
대구,멸치액젓/멸치액젓,당일,"5,660",1일전,"5,660",0.0,1kg
대구,굵은소금/굵은소금,당일,"9,693",1일전,"9,693",0.0,5kg
대구,콩나물/풀무원 국산콩 콩나물 340g,당일,"2,600",1일전,"2,600",0.0,1봉
대구,맛김(조미김)/동원에프앤비 양반 들기름김 5g×20봉,당일,"7,985",1일전,"7,985",0.0,1묶음
대구,간장/샘표 양조간장 501 1.8L,당일,"13,660",1일전,"13,660",0.0,1개
대구,된장/청정원 재래식 생된장 1kg,당일,"8,100",1일전,"8,100",0.0,1개
대구,고추장/해찬들 우리쌀로만든 태양초고추장 1kg,당일,"13,500",1일전,"13,500",0.0,1개
대구,김치/대상 종가집 포기김치 3.3kg,당일,"28,800",1일전,"28,800",0.0,1개
대구,두부/풀무원 국산콩 300g×2,당일,"5,485",1일전,"5,485",0.0,1개
대구,즉석밥/CJ 햇반 백미밥 210g×8개,당일,"9,900",1일전,"9,900",0.0,1묶음
대구,쌀/일반계,당일,"52,600",1일전,"52,600",0.0,20kg
대구,찹쌀/일반계,당일,"114,000",1일전,"114,000",0.0,40kg
대구,콩/흰 콩(국산),당일,"204,000",1일전,"204,000",0.0,35kg
대구,팥/붉은 팥(국산),당일,"380,000",1일전,"380,000",0.0,40kg
대구,녹두/국산,당일,"700,000",1일전,"700,000",0.0,40kg
대구,고구마/밤,당일,"31,000",1일전,"30,000",3.3,10kg
대구,감자/수미,당일,"47,000",1일전,"43,000",9.3,20kg
대구,배추/월동,당일,"10,000",1일전,"10,000",0.0,10kg
대구,양배추/양배추,당일,"9,000",1일전,"9,000",0.0,8kg
대구,시금치/시금치,당일,"13,000",1일전,"13,000",0.0,4kg
대구,상추/적,당일,"17,000",1일전,"16,000",6.3,4kg
대구,상추/청,당일,"17,000",1일전,"16,000",6.3,4kg
대구,얼갈이배추/얼갈이배추,당일,"6,500",1일전,"6,500",0.0,4kg
대구,수박/수박,당일,"20,000",1일전,"20,000",0.0,1개
대구,참외/참외,당일,"80,000",1일전,"80,000",0.0,10kg
대구,오이/가시계통,당일,"42,000",1일전,"42,000",0.0,10kg
